Station_ID,Station_Name,Day of Go_live_date,Status,Latitude,Longitude
3049,Foglietta Plaza,4/23/15,Active,39.945091,-75.142502
3050,9th & Arch,4/23/15,Active,39.953388,-75.154259
3051,23rd & Fairmount,4/23/15,Active,39.967442,-75.175072
3052,9th & Locust,4/23/15,Active,39.947319,-75.156952
3053,Point Breeze & Tasker,4/23/15,Active,39.932308,-75.181541
3054,Rodin Museum,4/23/15,Active,39.962502,-75.174202
3055,8th & Market,4/28/15,Active,39.951118,-75.154572
3056,Broad & Oxford,4/23/15,Active,39.976688,-75.158127
3057,Philadelphia Museum of Art,4/23/15,Active,39.96439,-75.179871
3058,20th & Fairmount,4/23/15,Active,39.967159,-75.170013
3059,"Spring Garden Station, BSL",4/23/15,Active,39.96244,-75.161209
3060,Free Library of Philadelphia - Central Library,4/23/15,Active,39.959229,-75.170357
3061,23rd & Market,4/23/15,Active,39.95425,-75.177612
3062,24th & Sansom,4/23/15,Active,39.951969,-75.179428
3063,17th & Pine,4/23/15,Active,39.946331,-75.1698
3064,"18th & Washington, Chew Playground",4/23/15,Active,39.9384,-75.173271
3065,Girard & Hutchinson,4/23/15,Active,39.970699,-75.151711
3066,19th & Lombard,4/23/15,Active,39.94561,-75.173477
3067,"39th & Mt. Vernon, Mantua Haverford Community Center",4/23/15,Active,39.964111,-75.19973
3068,Broad & Federal,4/23/15,Active,39.93549,-75.167107
3069,4th & Christian,4/23/15,Active,39.937038,-75.150383
3070,"Spring Garden Station, MFL",4/29/15,Active,39.960621,-75.139832
3071,"32nd & Baring, Drexel Park",4/23/15,Active,39.961731,-75.187881
3072,Front & Carpenter,4/23/15,Active,39.934448,-75.145409
3073,9th & Spring Garden,4/28/15,Active,39.96143,-75.15242
3074,44th & Walnut,4/28/15,Active,39.955109,-75.209869
3075,Fairmount & Ridge,4/28/15,Active,39.967178,-75.161247
3077,17th & Girard,4/29/15,Active,39.972069,-75.163513
3078,19th & Market,4/23/15,Active,39.953548,-75.171921
3086,Broad & Christian,6/10/15,Active,39.940189,-75.166908
3088,3rd & Girard,10/20/15,Active,39.969841,-75.1418
3093,33rd & Diamond,4/28/16,Active,39.988369,-75.187012
3095,29th & Diamond,4/28/16,Inactive,,
3096,29th & Dauphin,4/29/16,Active,39.991192,-75.179749
3097,"Berks Station, MFL",4/29/16,Active,39.978882,-75.133392
3098,10th & Federal,5/2/16,Active,39.934311,-75.160423
3099,4th & Washington,5/2/16,Active,39.93401,-75.15094
3100,Moyamensing & Tasker,5/2/16,Active,39.927769,-75.151031
3101,11th & South,5/2/16,Active,39.942951,-75.159554
3102,Pennsylvania & Fairmount Perelman Building,5/3/16,Active,39.96759,-75.17952
3103,"27th & Master, Athletic Recreation Center",5/3/16,Inactive,,
3104,34th & Mantua,5/3/16,Active,39.96664,-75.192093
3105,Penn Treaty Park,5/3/16,Inactive,,
3106,33rd & Dauphin,5/5/16,Active,39.991791,-75.186371
3107,33rd & Reservoir,5/4/16,Active,39.982029,-75.18866
3108,15th & Market,5/4/16,Active,39.953159,-75.165512
3109,Parkside & Girard,5/6/16,Inactive,,
3110,Del. River Trail & Penn St.,5/4/16,Active,39.96175,-75.136414
3111,"Parkside & Belmont, Case Building",5/5/16,Active,39.977791,-75.213226
3112,48th & Spruce,5/5/16,Active,39.953732,-75.218246
3113,Philadelphia Zoo,5/6/16,Active,39.97472,-75.197807
3114,22nd & Federal,5/5/16,Active,39.937752,-75.180122
3115,"19th & Girard, PTTI",5/4/16,Active,39.97263,-75.167572
3116,Barnes Foundation,12/14/17,Active,39.96006,-75.171982
3117,ParkWest Town Center,4/15/16,Active,39.978409,-75.223991
3118,"46th Street Station, MFL",4/25/16,Active,39.95866,-75.213226
3119,42nd & Lancaster,4/25/16,Active,39.96674,-75.207993
3120,31st & Girard,4/26/16,Active,39.97522,-75.186691
3121,27th & Girard,4/26/16,Active,39.97414,-75.180222
3122,"24th & Cecil B. Moore, Cecil B. Moore Library",4/27/16,Inactive,,
3123,22nd & Cecil B. Moore,4/27/16,Active,39.980042,-75.170883
3124,Race Street Pier,3/31/16,Active,39.953671,-75.139557
3125,15th & South,4/8/16,Active,39.943909,-75.167351
3129,"The Children's Hospital of Philadelphia, Osler Circle",5/24/16,Inactive,,
3150,"15th & Castle, DiSilvestro Playground",6/7/17,Active,39.928841,-75.170212
3152,"40th & Baltimore, Trolley Portal",6/5/17,Active,39.949928,-75.202858
3153,"Thompson & Palmer, Adaire School",6/7/17,Active,39.97216,-75.129936
3154,12th & Callowhill,6/7/17,Active,39.95924,-75.158211
3155,7th & Fitzwater,9/26/17,Active,39.940182,-75.154419
3156,20th & Market,6/8/17,Active,39.953812,-75.174072
3157,"8th & Mifflin, Bok Building",6/8/17,Active,39.925449,-75.159538
3158,Broad & Passyunk,6/8/17,Active,39.925522,-75.169037
3159,38th & Spruce,6/6/17,Active,39.95121,-75.199623
3160,38th & Market,6/6/17,Active,39.956619,-75.198624
3161,30th Street Station East,6/6/17,Active,39.954861,-75.180908
3162,27th & South,6/9/17,Active,39.94595,-75.184753
3163,25th & Locust,6/9/17,Active,39.949741,-75.180969
3164,12th & Passyunk,9/26/17,Active,39.928139,-75.165154
3165,24th & Race SRT,9/27/17,Active,39.958191,-75.1782
3166,Frankford & Belgrade,5/9/18,Active,39.971951,-75.134453
3167,12th & Chestnut,1/24/18,Active,39.950249,-75.160278
3168,20th & Sansom,12/13/17,Active,39.95134,-75.173943
